module,revisions,code
package.json,108,161
src/App.js,68,145
src/components/Content/Content.js,57,13
src/components/Header/Header.js,44,48
webpack.config.js,37,289
src/components/SearchBox/SearchField.js,37,87
src/utils/applicationConfig.js,35,191
src/components/Header/Header.scss,32,88
src/App.test.js,31,91
src/components/SearchBox/SearchBox.js,30,65
src/index.js,28,23
src/components/Header/Header.test.js,23,28
src/utils/applicationConfig.test.js,23,140
src/store.js,22,62
src/actions/mixpanelActions.js,22,213
src/components/SearchResults/SearchResults.js,20,37
src/components/SearchResults/CardView/ResultCard/ResultCard.js,19,128
src/actions/mixpanelActions.test.js,19,471
.eslintrc.yaml,18,61
src/components/Feedback/Feedback.js,18,191
src/components/Content/Content.test.js,17,22
src/components/SearchBox/SearchBox.scss,16,35
src/components/Dashboard/Dashboard.js,16,64
src/index.scss,16,86
src/reducers/index.js,15,25
src/components/SearchBox/SearchField.test.js,15,87
src/components/KnowledgeAlerts/KnowledgeAlerts.js,14,108
src/styles/palette.scss,14,85
public/index.html,14,15
src/__mocks__/storeMock.js,14,88
test/features/pages/soluto-helix-page.js,13,63
src/components/Content/Content.scss,12,49
src/components/Feedback/Feedback.test.js,12,84
src/utils/carrier.js,12,42
src/components/Dashboard/Dashboard.test.js,11,43
src/utils/pathBuilder.js,11,59
src/components/KnowledgeAlerts/KnowledgeAlert.js,11,59
src/littleroutes.js,11,47
src/middleware/mixpanelMiddleware.js,11,63
src/components/SearchResults/CardView/ResultCard/ResultCard.test.js,11,73
locales/en-US/common.json,10,23
test/features/soluto-helix.feature,10,68
src/components/NotFound/NotFound.js,10,48
src/components/SearchResults/SearchResults.test.js,10,46
src/components/KnowledgeAlerts/KnowledgeAlerts.test.js,10,68
src/components/KnowledgeAlerts/KnowledgeAlerts.scss,9,49
src/components/Search/Search.js,9,81
test/features/step_definitions/soluto-helix.js,9,36
src/middleware/helixTabMiddleware.js,9,122
src/reducers/routeStateReducer.test.js,9,62
src/utils/pathBuilder.test.js,9,95
src/actions/searchActions.test.js,9,30
src/middleware/analyticsMiddleware.js,9,30
src/reducers/routeStateReducer.js,8,42
src/components/SearchBox/SearchBox.test.js,8,46
src/middleware/mixpanelMiddleware.test.js,8,101
src/components/Feedback/Feedback.scss,8,107
scripts/deploy.sh,8,16
src/components/Header/HeaderTasks.js,8,99
src/connectors/withSharedWorkerEventBus/connectSharedWorkerEventBus.test.js,7,79
src/components/NotFound/index.js,7,1
Dockerfile,7,14
src/components/SearchResults/CardView/ResultCard/ResultCard.scss,7,83
src/utils/carrier.test.js,7,27
scripts/build.sh,7,13
src/middleware/analyticsMiddleware.test.js,7,68
src/connectors/withSharedWorkerEventBus/connectSharedWorkerEventBus.js,7,35
src/actions/searchActions.js,7,29
src/components/TabMenu/TabMenu.js,7,70
src/components/Dashboard/Dashboard.scss,7,78
src/components/Content/index.js,6,3
src/clients/technicianClient.test.js,6,48
src/clients/technicianClient.js,6,27
src/utils/eventBusWorker/index.js,6,17
src/middleware/initializationMiddleware.js,6,53
src/components/ContentTabs/ContentTabs.js,6,78
src/constants/contentTypes.js,6,17
src/clients/algoliaClient.js,6,86
README.md,6,608
src/components/HelixTabs/HelixTabs.js,6,104
src/reducers/helixTabReducer.js,6,69
src/clients/socoConfigClient.js,6,36
src/middleware/technicianMiddleware.test.js,6,118
src/components/Content/ContentDetail/ContentDetail.test.js,6,172
src/components/ApplicationError/ApplicationError.js,5,53
src/middleware/swebInMiddleware.js,5,24
