entity,n-revs
package.json,108
src/App.js,68
src/components/Content/Content.js,57
src/components/Header/Header.js,44
src/components/SearchBox/SearchField.js,37
webpack.config.js,37
src/utils/applicationConfig.js,35
src/components/Header/Header.scss,32
src/App.test.js,31
src/components/SearchBox/SearchBox.js,30
src/components/SearchResults/ResultCard/ResultCard.js,30
src/index.js,28
src/components/Content/DrawerContainer/ContentDetail/ContentDetail.js,24
src/utils/applicationConfig.test.js,23
src/components/Header/Header.test.js,23
src/store.js,22
src/actions/mixpanelActions.js,22
src/utils/mixpanelEvents.js,21
src/components/SearchResults/SearchResults.js,20
src/actions/mixpanelActions.test.js,19
src/components/SearchResults/CardView/ResultCard/ResultCard.js,19
src/components/Feedback/Feedback.js,18
.eslintrc.yaml,18
src/components/Content/Content.test.js,17
src/Content/index.js,17
src/components/Content/DrawerContainer/ContentDetail/ContentDetail.scss,17
src/components/Dashboard/Dashboard.js,16
src/components/SearchBox/SearchBox.scss,16
src/index.scss,16
src/components/Content/DrawerContainer/DrawerContainer.js,16
src/components/Content/DrawerContainer/ContentDetail/ContentDetail.test.js,16
src/components/SearchBox/SearchField.test.js,15
src/reducers/index.js,15
public/index.html,14
src/__mocks__/storeMock.js,14
src/components/KnowledgeAlerts/KnowledgeAlerts.js,14
src/styles/palette.scss,14
src/utils/mixpanelEvents.test.js,13
test/features/pages/soluto-helix-page.js,13
src/components/Content/Content.scss,12
src/components/SearchResults/ResultCard/ResultCard.scss,12
src/utils/carrier.js,12
src/Routes.js,12
src/components/Feedback/Feedback.test.js,12
src/components/Header/ResultsCounter.js,11
src/components/LaunchKana/LaunchKana.scss,11
src/components/SearchResults/ListView/ResultList/ResultList.js,11
src/components/KnowledgeAlerts/KnowledgeAlert.js,11
src/littleroutes.js,11
src/middleware/mixpanelMiddleware.js,11
src/components/SearchResults/CardView/ResultCard/ResultCard.test.js,11
src/utils/pathBuilder.js,11
src/components/Dashboard/Dashboard.test.js,11
src/components/KnowledgeAlerts/KnowledgeAlerts.test.js,10
locales/en-US/common.json,10
src/components/SearchResults/SearchResults.test.js,10
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCard.js,10
test/features/soluto-helix.feature,10
src/applicationConfig.js,10
src/components/NotFound/NotFound.js,10
src/components/MostViewed/MostViewed.js,9
src/actions/searchActions.test.js,9
src/components/Content/DrawerContainer/DrawerContainer.test.js,9
src/middleware/mixpanelDispatcher.js,9
src/middleware/helixTabMiddleware.js,9
src/components/Search/Search.js,9
test/features/step_definitions/soluto-helix.js,9
src/utils/pathBuilder.test.js,9
src/components/Header/ResultsCounter.scss,9
src/reducers/routeStateReducer.test.js,9
src/middleware/analyticsMiddleware.js,9
src/components/KnowledgeAlerts/KnowledgeAlerts.scss,9
src/reducers/routeStateReducer.js,8
src/constants/actionTypes.js,8
src/components/SearchBox/SearchBox.test.js,8
src/components/SearchResults/ListView/ResultList/ResultList.test.js,8
scripts/deploy.sh,8
src/components/LaunchKana/LaunchKana.js,8
src/components/MostViewed/MostViewed.test.js,8
src/middleware/mixpanelMiddleware.test.js,8
src/components/Feedback/Feedback.scss,8
src/Routes.test.js,8
src/components/SearchResults/ResultCard/ResultCard.test.js,8
src/components/Header/HeaderTasks.js,8
src/components/MostRecent/MostRecent.js,8
src/components/NotFound/index.js,7
scripts/build.sh,7
Dockerfile,7
src/App.css,7
src/connectors/withSharedWorkerEventBus/connectSharedWorkerEventBus.test.js,7
src/middleware/analyticsMiddleware.test.js,7
src/connectors/withSharedWorkerEventBus/connectSharedWorkerEventBus.js,7
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/ContentToolbar.js,7
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCard.test.js,7
src/utils/carrier.test.js,7
src/components/TabMenu/TabMenu.js,7
src/actions/searchActions.js,7
src/components/SearchResults/CardView/ResultCard/ResultCard.scss,7
src/components/Dashboard/Dashboard.scss,7
src/utils/eventBusWorker/index.js,6
src/middleware/technicianMiddleware.test.js,6
src/components/Content/index.js,6
src/components/Content/DrawerContainer/ContentDetail/contentTransforms.js,6
README.md,6
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.js,6
src/components/Content/DrawerContainer/ContentDetail/contentTransforms.test.js,6
src/SearchResults/ResultCard/index.js,6
src/components/Content/ContentDetail/ContentDetail.test.js,6
src/clients/algoliaClient.js,6
src/components/ContentTabs/ContentTabs.js,6
src/clients/technicianClient.test.js,6
src/reducers/helixTabReducer.js,6
src/clients/technicianClient.js,6
src/clients/socoConfigClient.js,6
src/components/HelixTabs/HelixTabs.js,6
src/middleware/technicianDispatcher.js,6
src/components/Content/DrawerContainer/BookmarkList/BookmarkList.js,6
src/middleware/algoliaClient.test.js,6
src/middleware/initializationMiddleware.js,6
src/constants/contentTypes.js,6
src/selectors/pathBuilderSelector.js,5
src/index.css,5
src/components/Search/Search.test.js,5
env/features_dev.json,5
src/middleware/technicianDispatcher.test.js,5
src/clients/dapulseClient.js,5
src/components/SearchResults/CardView/CardView.js,5
src/actions/healthActions.js,5
src/constants/actionNames.js,5
src/components/Content/DrawerContainer/AlertList/AlertList.js,5
src/components/KnowledgeAlerts/KnowledgeAlert.test.js,5
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCard.scss,5
src/components/Content/DrawerContainer/AlertList/AlertList.test.js,5
test/features/support/commandLineUitilityHelper.js,5
public/iframe.html,5
src/components/MostRecent/MostRecent.test.js,5
src/clients/algoliaClient.test.js,5
src/components/SearchResults/SearchResults.scss,5
src/components/Content/DrawerContainer/ContentToolbar/ContentToolbar.js,5
src/actions/activitiesActions.js,5
src/searchFilters/NestedList/index.js,5
src/middleware/technicianMiddleware.js,5
src/components/LaunchKana/index.js,5
src/App.scss,5
src/components/Content/ContentDetail/ContentDetail.js,5
src/selectors/searchSelector.test.js,5
src/clients/gapiClient.js,5
src/components/SearchBox/SearchField.scss,5
locales/en/common.json,5
src/middleware/mixpanelDispatcher.test.js,5
src/components/Header/HeaderTasks.test.js,5
src/middleware/algoliaClient.js,5
src/middleware/swebInMiddleware.js,5
tools/jest/jestSetup.js,5
src/components/Content/DrawerContainer/BookmarkList/BookmarkList.test.js,5
src/components/HelixTabs/HelixTabs.scss,5
src/selectors/searchSelector.js,5
src/components/ApplicationError/ApplicationError.js,5
src/clients/mixpanelClient.js,4
src/store.test.js,4
package-lock.json,4
src/components/Content/DrawerContainer/AlertList/AlertList.scss,4
src/CustomHits/index.js,4
src/components/NotFound/NotFound.scss,4
src/components/SearchResults/ListView/ListView.js,4
src/middleware/dapulseClient.js,4
src/actions/sessionActions.test.js,4
src/components/Content/DrawerContainer/ContentToolbar/ContentToolbar.scss,4
src/connectors/connectSharedWorkerEventBus/__mocks__/connectSharedWorkerEventBus.js,4
src/clients/analyticsClient.js,4
src/SearchResults/index.js,4
src/components/Content/index.css,4
src/components/HelixTabs/HelixTabsContainer.js,4
src/components/ApplicationError/ApplicationError.test.js,4
src/components/Content/index.scss,4
src/components/Activities/Activity.js,4
test/features/support/hooks.js,4
src/components/LaunchKana/LaunchKana.test.js,4
src/components/ContentTabs/ContentTabs.scss,4
src/reducers/helixTabReducer.test.js,4
src/components/Loading/Loading.js,4
src/utils/eventBusWorker/onmessage.js,4
src/components/MostViewed/MostViewed.scss,4
src/selectors/socoSelector.js,4
src/components/ContentTabs/ContentTabs.test.js,4
src/middleware/supportSessionMiddleware.js,4
src/middleware/authenticationMiddleware.test.js,4
src/components/Content/DrawerContainer/GeneralFeedback/GeneralFeedback.js,4
src/middleware/authenticationMiddleware.js,4
src/components/Loading/Loading.test.js,4
src/router.js,4
src/styles/icons.scss,4
src/connectors/connectSharedWorker/connectSharedWorker.test.js,4
src/components/Header/ResultsCounter.test.js,4
src/middleware/helixTabMiddleware.test.js,4
src/connectors/withErrors/ErrorHandler.test.js,4
public/assets/images/logo.png,4
src/components/Content/DrawerContainer/DrawerContainer.scss,4
src/middleware/triageMiddleware.js,4
src/components/Content/DrawerContainer/ContentHeader/ContentHeader.scss,4
test/README.md,4
src/searchFilters/CheckBoxRefinementList/index.js,4
src/middleware/contentFlowMiddleware.js,4
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/ContentToolbar.test.js,4
src/actions/healthActions.test.js,4
src/actions/contentDetailActions.js,4
src/connectors/connectSharedWorkerEventBus/connectSharedWorkerEventBus.test.js,4
src/components/HelixTabs/HelixTabs.test.js,4
src/components/NotFound/NotFound.test.js,3
src/components/ApplicationError/ApplicationError.scss,3
src/clients/analyticsClient.test.js,3
src/utils/eventBusWorker/__mocks__/index.js,3
src/components/HelixTabs/HelixTabsContainer.test.js,3
src/reducers/activityStatusReducers.js,3
src/connectors/connectSharedWorkerEventBus/index.js,3
src/clients/featureToggleClient.js,3
src/connectors/connectSharedWorkerEventBus/connectSharedWorkerEventBus.js,3
src/components/Activities/Activity.test.js,3
locales/en-US/feedback.json,3
src/components/Content/DrawerContainer/ContentHeader/ContentHeader.test.js,3
src/components/SearchResults/ListView/ResultList/index.js,3
src/middleware/sharedWorkerMiddleware.js,3
src/i18n.js,3
src/components/SearchResults/ResultCard/ResultCard.css,3
src/components/Search/Pagination.js,3
src/reducers/health.test.js,3
src/clients/mixpanelClient.test.js,3
.gitignore,3
.babelrc,3
src/actions/tabActions.js,3
src/reducers/routeSchemeReducer.test.js,3
src/constants/Activities.js,3
src/clients/socoConfigClient.test.js,3
src/reducers/session.js,3
src/selectors/socoSelector.test.js,3
src/actions/index.js,3
src/components/Content/ContentDetail/contentTransforms.test.js,3
src/components/Loading/Loading.scss,3
src/actions/contentDetailActions.test.js,3
src/components/ContentFlow/ContentDetail/ContentFlowDetail.js,3
src/utils/operatingSystem.test.js,3
src/components/Feedback/index.js,3
src/components/Login/Login.js,3
src/components/Content/DrawerContainer/GeneralFeedback/GeneralFeedback.test.js,3
src/actions/tabActions.test.js,3
src/components/HelixTabs/HelixSearchContainer.js,3
src/clients/gapiClient.test.js,3
src/i18n.test.js,3
src/components/Login/Login.test.js,3
src/utils/client.js,3
src/utils/mixPanelEvents.js,3
src/components/HelixTabs/HelixSearchContainer.test.js,3
src/components/SearchBox/index.js,3
src/models/technician.js,3
src/SearchBox/index.js,3
src/components/SearchResults/index.js,3
src/middleware/analyticsDispatcher.js,3
src/connectors/connectSharedWorker/__mocks__/connectSharedWorker.js,3
src/selectors/activitiesSelector.js,3
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/ContentToolbar.scss,3
src/components/TabMenu/Tab.js,3
src/searchFilters/SelectFieldRefinementList/index.js,3
src/components/ContentFlow/ContentDetail/ContentFlowDetail.test.js,3
src/components/SearchResults/ListView/ResultList/ResultList.scss,3
src/clients/__mocks__/gapiClient.js,3
src/reducers/health.js,3
src/components/Content/DrawerContainer/BookmarkList/BookmarkList.scss,3
src/middleware/__mocks__/algoliasearch.js,3
src/components/TabMenu/TabMenu.scss,3
src/components/Content/ContentDetail/ContentFeatures/BookmarkFeature.js,3
src/components/Search/Pagination.test.js,3
src/components/Content/DrawerContainer/ContentHeader/ContentHeader.js,3
src/reducers/routeSchemeReducer.js,3
src/components/Activities/Activities.js,3
src/components/Search/ResultsCounter.js,3
src/reducers/activityStatusReducers.test.js,3
test/features/support/environmentConfig.js,3
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCardEventHandlers.test.js,3
src/actions/activitiesActions.test.js,3
src/components/TabMenu/TabMenu.test.js,3
src/styles/orig.css,3
src/selectors/activitiesSelector.test.js,3
src/components/Content/ContentDetail/contentTransforms.js,3
src/connectors/withSharedWorkerEventBus/__mocks__/connectSharedWorkerEventBus.js,3
src/middleware/contentTabsMiddleware.js,3
src/components/SearchResults/CardView/CardView.test.js,3
.eslintignore,3
src/components/searchFilters/index.js,2
src/components/SearchResults/CardView/ResultCard/index.js,2
public/assets/images/resizeDrawerIcon.svg,2
src/actions/helixStateActions.js,2
src/components/SearchResults/CardView/ResultCard/Footer.js,2
src/selectors/tabSelector.js,2
src/middleware/swebOutMiddleware.js,2
src/components/Content/ContentDetail/ContentFeatures/BookmarkFeature.test.js,2
src/reducers/featureToggleReducer.js,2
src/selectors/featureToggleSelector.test.js,2
src/components/MostRecent/MostRecent.scss,2
src/connectors/connectSharedWorker/index.js,2
src/middleware/featureToggleMiddleware.js,2
src/components/Content/GeneralFeedback/GeneralFeedback.js,2
src/reducers/helixStateReducer.js,2
src/selectors/tabSelector.test.js,2
src/connectors/withErrors/ErrorHandler.js,2
src/components/Content/ContentDetail/ContentFeatures/ShareFeature.test.js,2
src/components/searchFilters/SelectFieldRefinementList/SelectFieldRefinementList.js,2
src/components/Login/index.js,2
src/components/searchFilters/NestedList/NestedList.js,2
src/actions/authenticationActions.js,2
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/index.js,2
src/components/ContentFlow/SearchResults/ContentFlowSearchResults.test.js,2
src/Content/index.css,2
src/components/Content/DrawerContainer/ContentToolbar/index.js,2
src/components/searchFilters/ApplyTags/ApplyTags.js,2
src/reducers/helixStateReducer.test.js,2
src/middleware/activitiesMiddleware.js,2
src/utils/form/semanticFormField.js,2
src/selectors/userSelector.js,2
src/components/Header/HeaderComponent.js,2
src/components/Content/ContentDetail/ContentFeatures/FeedbackFeature.test.js,2
src/utils/operatingSystem.js,2
src/actions/sharedWorkerEventBusActions.test.js,2
src/reducers/contentFlowReducer.js,2
src/middleware/featureToggleMiddleware.test.js,2
src/components/ContentFlow/SearchResults/ContentFlowSearchResults.js,2
src/components/Header/index.js,2
src/selectors/routeSelector.js,2
main.js,2
src/selectors/healthSelector.js,2
src/components/Content/DrawerContainer/GeneralFeedback/GeneralFeedback.scss,2
src/styles/semantic-ui/site/modules/tab.overrides,2
src/reducers/currentCarrier.test.js,2
src/components/MostRecent/index.js,2
src/reducers/searchReducer.js,2
src/middleware/triageMiddleware.test.js,2
src/actions/carrierActions.test.js,2
src/reducers/currentCarrier.js,2
src/__mocks__/routerMock.js,2
src/utils/__tests__/carrier.js,2
src/components/Login/Login.scss,2
src/clients/sharedWorkerEventBusClient.js,2
src/components/MostViewed/index.js,2
src/Home/index.js,2
src/middleware/contentDetailMiddleware.js,2
src/components/searchFilters/NestedList/index.js,2
src/components/searchFilters/SortBy/SortBy.js,2
src/reducers/technicianReducer.js,2
jest/cssTransform.js,2
src/components/Content/ContentHeader/ContentHeader.test.js,2
src/connectors/withErrors/index.js,2
public/assets/images/LoaderTrans.gif,2
src/components/Content/DrawerContainer/ContentDetail/ContentToolbar/index.js,2
src/clients/__mocks__/algoliasearch.js,2
src/actions/carrierActions.js,2
src/components/Activities/Activities.test.js,2
src/actions/technicianActions.js,2
src/selectors/analyticStateSelector.js,2
src/utils/eventBusWorker/onconnect.js,2
src/searchFilters/SortBy/index.js,2
src/components/Content/BookmarkList/BookmarkList.js,2
src/middleware/searchMiddleware.test.js,2
src/reducers/authenticationReducer.test.js,2
src/__tests__/App.js,2
src/reducers/healthReducer.test.js,2
src/selectors/helixStateSelector.test.js,2
src/reducers/contentDetailReducer.test.js,2
src/reducers/technicianReducer.test.js,2
src/components/Content/DrawerContainer/ContentToolbar/ContentToolbar.test.js,2
src/reducers/authenticationReducer.js,2
src/actions/helixStateActions.test.js,2
src/constants/healthStates.js,2
src/components/searchFilters/SortBy/index.js,2
src/components/Content/Landing/Landing.test.js,2
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.test.js,2
src/reducers/healthReducer.js,2
src/components/Header/Navbar.test.js,2
src/reducers/contentDetailReducer.js,2
src/components/SearchBox/NotFound/index.js,2
src/components/searchFilters/SelectFieldRefinementList/index.js,2
src/components/Content/Landing/Landing.js,2
src/selectors/userSelector.test.js,2
src/components/searchFilters/CheckBoxRefinementList/index.js,2
src/components/Content/BookmarkList/BookmarkList.test.js,2
src/reducers/searchReducer.test.js,2
src/selectors/healthSelector.test.js,2
src/selectors/featureToggleSelector.js,2
src/components/Content/__tests__/Content.js,2
public/assets/images/google-logo.svg,2
src/middleware/activitiesMiddleware.test.js,2
src/constants/ActionTypes.js,2
src/middleware/analyticsDispatcher.test.js,2
src/featureToggleConfig.json,2
src/components/Activities/Activities.scss,2
src/connectors/connectSharedWorker/connectSharedWorker.js,2
src/stories/index.js,2
src/reducers/featureToggleReducer.test.js,2
src/clients/featureToggleClient.test.js,2
src/components/Content/ContentHeader/ContentHeader.js,2
.storybook/config.js,2
src/clients/dapulseClient.test.js,2
locales/en/feedback.json,2
src/components/SearchResults/CardView/ResultCard/Footer.test.js,2
src/components/SearchResults/ListView/ListView.test.js,2
src/components/TabMenu/Tab.test.js,2
src/actions/featureActions.test.js,2
src/components/Content/BookmarkList/BookmarkCard/BookmarkCard.js,2
src/components/Content/AlertList/AlertList.test.js,2
src/components/searchFilters/CheckBoxRefinementList/CheckBoxRefinementList.js,2
src/middleware/dapulseClient.test.js,2
src/actions/featureActions.js,2
src/actions/authenticationActions.test.js,2
src/selectors/routeSelector.test.js,2
