entity,main-dev,added,total-added,ownership
.babelrc,Gary Paige,27,27,1
.dockerignore,Jeff Tougas,2,2,1
.eslintignore,Gary Paige,3,3,1
.eslintrc.yaml,Gary Paige,37,72,0.51
.flowconfig,Jeff Tougas,13,14,0.93
.gitignore,Jeff Tougas,16,17,0.94
.node-version,Jeff Tougas,1,1,1
.nvmrc,Jeff Tougas,1,1,1
.storybook/config.js,Jeff Tougas,7,7,1
Dockerfile,Jeff Tougas,23,28,0.82
README.md,Jeff Tougas,1247,1302,0.96
env/features_dev.json,Gary Paige,12,21,0.57
env/features_public.json,Gary Paige,9,9,1
env/features_soco.json,Gary Paige,9,9,1
flow-typed/npm/jest_v18.x.x.js,Jeff Tougas,440,440,1
flow-typed/npm/jest_v19.x.x.js,Jeff Tougas,459,459,1
flow/CSSModule.js.flow,Jeff Tougas,3,3,1
jest/cssTransform.js,Gary Paige,12,12,1
jest/fileTransform.js,Gary Paige,9,9,1
locales/en-US/bookmarks.json,brennanbelew,3,3,1
locales/en-US/common.json,Gary Paige,16,32,0.5
locales/en-US/contentTypes.json,Gary Paige,4,4,1
locales/en-US/feedback.json,Muhamed Brifkani,27,29,0.93
locales/en-US/login.json,Gary Paige,8,8,1
locales/en-US/share.json,Gary Paige,5,5,1
locales/en/common.json,Gary Paige,12,13,0.92
locales/en/feedback.json,Jeff Tougas,27,27,1
main.js,Jeff Tougas,61,61,1
package-lock.json,Daniel Nalbach,14016,18193,0.77
package.json,Gary Paige,229,378,0.61
public/assets/images/Alert.svg,Gary Paige,12,12,1
public/assets/images/Bookmark.svg,Gary Paige,12,12,1
public/assets/images/LoaderTrans.gif,Gary Paige,0,0,0
public/assets/images/alertLandingModule_icon.png,Gary Paige,0,0,0
public/assets/images/derp.png,Gary Paige,0,0,0
public/assets/images/google-logo.svg,Gary Paige,124,124,1
public/assets/images/login-splash.jpg,Gary Paige,0,0,0
public/assets/images/logo.png,Gary Paige,0,0,0
public/assets/images/logo.svg,Gary Paige,94,94,1
public/assets/images/mostRecent_icon.png,brennanbelew,0,0,0
public/assets/images/mostViewed_icon.png,Gary Paige,0,0,0
public/assets/images/question.png,argvader,0,0,0
public/assets/images/resizeDrawerIcon.png,Gary Paige,0,0,0
public/assets/images/resizeDrawerIcon.svg,Gary Paige,22,22,1
public/assets/images/smc.svg,Gary Paige,1,1,1
public/favicon.ico,Jeff Tougas,0,0,0
public/iframe.html,Laidlaw,43,84,0.51
public/index.html,Jeff Tougas,32,47,0.68
scripts/build.sh,Jeff Tougas,12,22,0.55
scripts/deploy.sh,Jeff Tougas,37,50,0.74
src/App.css,Jeff Tougas,78,86,0.91
src/App.js,Jeff Tougas,517,1022,0.51
src/App.scss,Gary Paige,168,173,0.97
src/App.test.js,Gary Paige,141,291,0.48
src/Content/index.css,Jeff Tougas,1531,1531,1
src/Content/index.js,Laidlaw,261,367,0.71
src/CustomHits/index.js,Laidlaw,104,104,1
src/Home/index.js,Laidlaw,84,84,1
src/Routes.js,Gary Paige,45,84,0.54
src/Routes.test.js,Gary Paige,35,42,0.83
src/SearchBox/index.js,Laidlaw,47,55,0.85
src/SearchResults/ResultCard/index.js,Laidlaw,125,130,0.96
src/SearchResults/index.js,Laidlaw,62,63,0.98
src/__mocks__/mixpanelMiddleware.js,Daniel Nalbach,5,5,1
src/__mocks__/react-cookie.js,Daniel Nalbach,7,7,1
src/__mocks__/routerActionsMock.js,Alex Petty,11,11,1
src/__mocks__/routerMock.js,argvader,16,16,1
src/__mocks__/storeMock.js,Gary Paige,62,129,0.48
src/__tests__/App.js,Gary Paige,17,17,1
src/actions/activitiesActions.js,Ginu Philip Simon,32,34,0.94
src/actions/activitiesActions.test.js,Ginu Philip Simon,39,39,1
src/actions/authenticationActions.js,Gary Paige,32,32,1
src/actions/authenticationActions.test.js,Gary Paige,34,34,1
src/actions/carrierActions.js,Gary Paige,9,9,1
src/actions/carrierActions.test.js,Gary Paige,13,13,1
src/actions/contentDetailActions.js,Gary Paige,43,43,1
src/actions/contentDetailActions.test.js,Gary Paige,70,70,1
src/actions/featureActions.js,brennanbelew,12,24,0.5
src/actions/featureActions.test.js,brennanbelew,13,26,0.5
src/actions/healthActions.js,Gary Paige,17,27,0.63
src/actions/healthActions.test.js,Gary Paige,18,33,0.55
src/actions/helixStateActions.js,Gary Paige,32,32,1
src/actions/helixStateActions.test.js,Gary Paige,38,38,1
src/actions/index.js,Gary Paige,9,9,1
src/actions/mixpanelActions.js,Gary Paige,214,364,0.59
src/actions/mixpanelActions.test.js,Gary Paige,329,642,0.51
src/actions/searchActions.js,Gary Paige,30,50,0.6
src/actions/searchActions.test.js,Gary Paige,32,57,0.56
src/actions/sessionActions.js,Gary Paige,10,10,1
src/actions/sessionActions.test.js,Gary Paige,14,17,0.82
src/actions/sharedWorkerEventBusActions.js,Gary Paige,9,9,1
src/actions/sharedWorkerEventBusActions.test.js,Gary Paige,22,22,1
src/actions/tabActions.js,Gary Paige,26,26,1
src/actions/tabActions.test.js,Gary Paige,38,38,1
src/actions/technicianActions.js,Gary Paige,14,21,0.67
src/actions/technicianActions.test.js,Gary Paige,20,30,0.67
src/applicationConfig.js,Gary Paige,32,47,0.68
src/clients/__mocks__/algoliasearch.js,Gary Paige,33,33,1
src/clients/__mocks__/gapiClient.js,Gary Paige,57,57,1
src/clients/__mocks__/mixpanel-browser.js,Gary Paige,13,13,1
src/clients/algoliaClient.js,Gary Paige,101,119,0.85
src/clients/algoliaClient.test.js,Gary Paige,89,89,1
src/clients/analyticsClient.js,Gary Paige,19,35,0.54
src/clients/analyticsClient.test.js,Gary Paige,31,44,0.7
src/clients/bitlyClient.js,Gary Paige,18,18,1
src/clients/bitlyClient.test.js,Gary Paige,32,32,1
