entity,coupled,degree,average-revs
src/actions/mixpanelActions.js,src/actions/mixpanelActions.test.js,96,16
src/components/NotFound/NotFound.js,src/components/NotFound/index.js,92,7
src/components/KnowledgeAlerts/KnowledgeAlerts.js,src/components/KnowledgeAlerts/KnowledgeAlerts.test.js,88,9
src/middleware/analyticsMiddleware.js,src/middleware/mixpanelMiddleware.js,83,6
test/features/pages/soluto-helix-page.js,test/features/step_definitions/soluto-helix.js,81,11
test/features/soluto-helix.feature,test/features/step_definitions/soluto-helix.js,73,10
src/utils/applicationConfig.js,src/utils/applicationConfig.test.js,72,25
src/components/Dashboard/Dashboard.js,src/components/Dashboard/Dashboard.test.js,71,7
src/components/SearchResults/CardView/ResultCard/ResultCard.js,src/components/SearchResults/ListView/ResultList/ResultList.js,70,9
src/index.scss,src/styles/palette.scss,69,12
test/features/pages/soluto-helix-page.js,test/features/soluto-helix.feature,69,12
src/components/Content/DrawerContainer/ContentDetail/ContentDetail.js,src/components/Content/DrawerContainer/ContentDetail/ContentDetail.test.js,68,15
src/components/Header/ResultsCounter.js,src/components/Header/ResultsCounter.scss,62,8
src/components/Feedback/Feedback.js,src/components/Feedback/Feedback.test.js,60,10
src/components/SearchBox/SearchBox.js,src/components/SearchBox/SearchField.js,58,24
src/components/Content/Content.scss,src/index.scss,58,12
src/components/LaunchKana/LaunchKana.js,src/components/LaunchKana/LaunchKana.scss,55,9
src/utils/mixpanelEvents.js,src/utils/mixpanelEvents.test.js,53,13
src/components/Header/ResultsCounter.scss,src/components/LaunchKana/LaunchKana.scss,52,10
src/components/Feedback/Feedback.js,src/components/Feedback/Feedback.scss,52,10
src/components/Content/Content.scss,src/styles/palette.scss,52,10
src/reducers/index.js,src/store.js,52,10
src/components/SearchBox/SearchBox.scss,src/components/SearchResults/ResultCard/ResultCard.scss,50,12
src/components/Header/Header.js,src/components/Header/Header.scss,48,31
src/components/SearchResults/ResultCard/ResultCard.scss,src/index.scss,48,13
src/components/Header/Header.scss,src/components/LaunchKana/LaunchKana.scss,47,19
src/components/Header/Header.scss,src/components/Header/ResultsCounter.scss,45,18
src/components/LaunchKana/LaunchKana.scss,src/components/SearchResults/ResultCard/ResultCard.scss,45,11
src/components/Header/Header.scss,src/index.scss,43,21
src/components/Header/Header.scss,src/components/SearchResults/ResultCard/ResultCard.scss,42,19
src/components/SearchBox/SearchBox.js,src/components/SearchBox/SearchBox.scss,42,17
src/components/Header/Header.scss,src/components/SearchBox/SearchBox.scss,40,20
src/components/Header/Header.js,src/components/Header/Header.test.js,39,26
src/components/Header/Header.js,src/components/SearchBox/SearchField.js,38,32
src/components/Header/Header.scss,src/styles/palette.scss,38,18
src/components/Content/DrawerContainer/ContentDetail/ContentDetail.js,src/components/Content/DrawerContainer/ContentDetail/ContentDetail.scss,38,16
src/App.js,src/App.test.js,37,40
src/components/SearchResults/ResultCard/ResultCard.js,src/components/SearchResults/ResultCard/ResultCard.scss,37,19
src/components/Header/Header.test.js,src/components/LaunchKana/LaunchKana.scss,37,14
src/components/Content/Content.js,src/components/SearchBox/SearchBox.js,35,34
src/App.js,src/components/Content/Content.js,34,53
src/components/SearchBox/SearchBox.scss,src/components/SearchBox/SearchField.js,34,21
src/components/Content/DrawerContainer/ContentDetail/ContentDetail.js,src/components/SearchResults/CardView/ResultCard/ResultCard.js,34,15
src/components/Header/Header.js,src/index.scss,32,25
src/components/Header/Header.scss,src/components/Header/Header.test.js,32,22
src/components/SearchBox/SearchField.js,src/components/SearchBox/SearchField.test.js,32,19
src/components/Content/Content.scss,src/components/Header/Header.scss,32,19
src/components/SearchBox/SearchBox.js,src/components/SearchResults/ResultCard/ResultCard.scss,32,16
src/components/Header/Header.js,src/utils/mixpanelEvents.js,31,26
src/components/SearchResults/ResultCard/ResultCard.js,src/components/SearchResults/SearchResults.js,30,20
