entity,soc
src/App.js,1203
package.json,1013
src/components/SearchBox/SearchBox.js,944
src/components/SearchBox/SearchField.js,925
src/components/Content/Content.js,904
src/components/Header/Header.js,862
src/store.js,835
src/utils/applicationConfig.js,721
src/components/SearchResults/CardView/ResultCard/ResultCard.js,715
src/actions/mixpanelActions.js,712
src/littleroutes.js,706
src/reducers/index.js,697
src/App.test.js,675
src/__mocks__/storeMock.js,665
src/components/Header/Header.scss,664
src/components/Dashboard/Dashboard.js,659
src/components/Header/Header.test.js,658
webpack.config.js,650
src/components/Content/Content.test.js,638
src/utils/pathBuilder.js,625
src/components/Feedback/Feedback.js,603
src/actions/searchActions.test.js,595
src/components/SearchResults/SearchResults.js,586
src/components/Content/DrawerContainer/ContentDetail/ContentDetail.js,586
src/components/Dashboard/Dashboard.test.js,579
src/components/Header/HeaderTasks.js,576
src/components/Content/DrawerContainer/DrawerContainer.js,576
src/components/SearchBox/SearchField.test.js,575
src/components/SearchResults/CardView/ResultCard/ResultCard.test.js,568
src/index.js,544
src/constants/actionTypes.js,541
src/actions/searchActions.js,533
src/components/KnowledgeAlerts/KnowledgeAlerts.js,518
src/middleware/helixTabMiddleware.js,516
src/utils/pathBuilder.test.js,505
locales/en-US/common.json,488
src/styles/palette.scss,487
src/reducers/routeStateReducer.test.js,476
src/reducers/routeStateReducer.js,471
src/components/Header/HeaderTasks.test.js,470
src/components/SearchResults/ListView/ResultList/ResultList.js,468
src/components/HelixTabs/HelixTabs.js,466
src/components/Content/DrawerContainer/ContentDetail/ContentDetail.scss,466
src/components/SearchBox/SearchBox.scss,463
src/components/Search/Search.js,463
src/components/Feedback/Feedback.test.js,463
src/middleware/mixpanelMiddleware.js,459
src/middleware/analyticsMiddleware.js,458
src/components/KnowledgeAlerts/KnowledgeAlerts.scss,447
src/components/Content/DrawerContainer/ContentDetail/ContentDetail.test.js,447
src/constants/contentTypes.js,445
src/reducers/helixTabReducer.js,441
src/components/KnowledgeAlerts/KnowledgeAlert.js,438
src/components/Content/DrawerContainer/BookmarkList/BookmarkCard/BookmarkCard.js,436
src/middleware/swebInMiddleware.js,431
src/components/Search/Search.test.js,431
src/components/Content/DrawerContainer/DrawerContainer.test.js,426
src/components/SearchResults/ListView/ResultList/ResultList.test.js,423
src/middleware/mixpanelMiddleware.test.js,421
src/components/Dashboard/Dashboard.scss,415
src/components/NotFound/NotFound.js,398
public/index.html,394
src/components/Content/DrawerContainer/BookmarkList/BookmarkList.js,393
src/clients/mixpanelClient.js,388
src/actions/mixpanelActions.test.js,388
src/components/SearchResults/SearchResults.test.js,383
src/components/SearchResults/CardView/CardView.js,381
src/components/HelixTabs/HelixTabs.test.js,377
