entity,author,added,deleted
.babelrc,Gary Paige,27,1
.dockerignore,Jeff Tougas,2,0
.eslintignore,Gary Paige,3,3
.eslintrc.yaml,Jeff Tougas,23,1
.eslintrc.yaml,Daniel Nalbach,1,1
.eslintrc.yaml,Muhamed Brifkani,11,0
.eslintrc.yaml,Gary Paige,37,4
.flowconfig,Gary Paige,1,0
.flowconfig,Jeff Tougas,13,0
.gitignore,Gary Paige,1,0
.gitignore,Jeff Tougas,16,0
.node-version,Jeff Tougas,1,0
.nvmrc,Jeff Tougas,1,0
.storybook/config.js,Gary Paige,0,7
.storybook/config.js,Jeff Tougas,7,0
Dockerfile,Gary Paige,5,1
Dockerfile,Jeff Tougas,23,7
README.md,brennanbelew,1,1
README.md,Muhamed Brifkani,1,1
README.md,Gary Paige,53,399
README.md,Jeff Tougas,1247,0
env/features_dev.json,Gary Paige,12,2
env/features_dev.json,brennanbelew,9,0
env/features_public.json,Gary Paige,9,0
env/features_soco.json,Gary Paige,9,0
flow-typed/npm/jest_v18.x.x.js,Jeff Tougas,440,440
flow-typed/npm/jest_v19.x.x.js,Jeff Tougas,459,0
flow/CSSModule.js.flow,Jeff Tougas,3,0
jest/cssTransform.js,Gary Paige,12,12
jest/fileTransform.js,Gary Paige,9,9
locales/en-US/bookmarks.json,brennanbelew,3,0
locales/en-US/common.json,Gary Paige,16,5
locales/en-US/common.json,Daniel Nalbach,3,1
locales/en-US/common.json,brennanbelew,1,1
locales/en-US/common.json,Jeff Tougas,2,1
locales/en-US/common.json,Muhamed Brifkani,10,0
locales/en-US/contentTypes.json,Gary Paige,4,0
locales/en-US/feedback.json,Gary Paige,1,0
locales/en-US/feedback.json,brennanbelew,1,1
locales/en-US/feedback.json,Muhamed Brifkani,27,0
locales/en-US/login.json,Gary Paige,8,0
locales/en-US/share.json,Gary Paige,5,0
locales/en/common.json,Muhamed Brifkani,1,11
locales/en/common.json,Gary Paige,12,2
locales/en/feedback.json,Muhamed Brifkani,0,27
locales/en/feedback.json,Jeff Tougas,27,0
main.js,Gary Paige,0,61
main.js,Jeff Tougas,61,0
package-lock.json,Gary Paige,4177,33530
package-lock.json,Daniel Nalbach,14016,0
package.json,Gary Paige,229,131
package.json,pijus-kadisius,45,32
package.json,Jeff Tougas,75,29
package.json,Alex Petty,5,6
package.json,Daniel Nalbach,2,1
package.json,Muhamed Brifkani,22,15
public/assets/images/Alert.svg,Gary Paige,12,0
public/assets/images/Bookmark.svg,Gary Paige,12,0
public/assets/images/LoaderTrans.gif,Gary Paige,0,0
public/assets/images/alertLandingModule_icon.png,Gary Paige,0,0
public/assets/images/derp.png,Gary Paige,0,0
public/assets/images/google-logo.svg,Gary Paige,124,0
public/assets/images/login-splash.jpg,Gary Paige,0,0
public/assets/images/logo.png,Gary Paige,0,0
public/assets/images/logo.svg,Gary Paige,94,0
public/assets/images/mostRecent_icon.png,brennanbelew,0,0
public/assets/images/mostViewed_icon.png,brennanbelew,0,0
public/assets/images/mostViewed_icon.png,Gary Paige,0,0
public/assets/images/question.png,argvader,0,0
public/assets/images/resizeDrawerIcon.png,Gary Paige,0,0
public/assets/images/resizeDrawerIcon.svg,Gary Paige,22,22
public/assets/images/smc.svg,Gary Paige,1,0
public/favicon.ico,Jeff Tougas,0,0
public/iframe.html,Gary Paige,0,80
public/iframe.html,Jeff Tougas,41,2
public/iframe.html,Laidlaw,43,2
public/index.html,Gary Paige,14,17
public/index.html,Muhamed Brifkani,1,1
public/index.html,Jeff Tougas,32,1
scripts/build.sh,Gary Paige,10,3
scripts/build.sh,Jeff Tougas,12,3
scripts/deploy.sh,Gary Paige,7,5
scripts/deploy.sh,Scott Clark,6,1
scripts/deploy.sh,Jeff Tougas,37,22
src/App.css,Gary Paige,0,168
src/App.css,Laidlaw,8,2
src/App.css,Jeff Tougas,78,0
src/App.js,Gary Paige,351,314
src/App.js,brennanbelew,15,5
src/App.js,Jeff Tougas,517,53
src/App.js,Daniel Nalbach,5,24
src/App.js,Muhamed Brifkani,38,67
src/App.js,Alex Petty,26,3
src/App.js,argvader,34,6
src/App.js,Laidlaw,36,365
src/App.scss,Gary Paige,168,4
src/App.scss,Muhamed Brifkani,5,0
src/App.test.js,Gary Paige,141,122
src/App.test.js,brennanbelew,27,4
src/App.test.js,Jeff Tougas,37,15
src/App.test.js,Daniel Nalbach,0,2
src/App.test.js,Alex Petty,1,4
src/App.test.js,Muhamed Brifkani,54,3
src/App.test.js,argvader,31,12
src/Content/index.css,Gary Paige,0,1531
src/Content/index.css,Jeff Tougas,1531,0
src/Content/index.js,Gary Paige,0,286
src/Content/index.js,Jeff Tougas,106,44
src/Content/index.js,Laidlaw,261,41
src/CustomHits/index.js,Laidlaw,104,104
src/Home/index.js,Gary Paige,0,84
src/Home/index.js,Laidlaw,84,0
src/Routes.js,Alex Petty,0,56
src/Routes.js,Gary Paige,45,6
src/Routes.js,Jeff Tougas,2,0
src/Routes.js,argvader,16,16
src/Routes.js,Muhamed Brifkani,21,6
src/Routes.test.js,Alex Petty,0,35
src/Routes.test.js,Gary Paige,35,4
src/Routes.test.js,Jeff Tougas,1,1
src/Routes.test.js,argvader,1,1
src/Routes.test.js,Muhamed Brifkani,5,1
src/SearchBox/index.js,Gary Paige,0,50
src/SearchBox/index.js,Jeff Tougas,8,5
src/SearchBox/index.js,Laidlaw,47,0
src/SearchResults/ResultCard/index.js,Gary Paige,0,113
src/SearchResults/ResultCard/index.js,Jeff Tougas,5,4
src/SearchResults/ResultCard/index.js,Laidlaw,125,13
src/SearchResults/index.js,Gary Paige,0,59
src/SearchResults/index.js,Jeff Tougas,1,1
src/SearchResults/index.js,Laidlaw,62,3
src/__mocks__/mixpanelMiddleware.js,Daniel Nalbach,5,0
src/__mocks__/react-cookie.js,Daniel Nalbach,7,0
src/__mocks__/routerActionsMock.js,Alex Petty,11,0
src/__mocks__/routerMock.js,Alex Petty,0,16
src/__mocks__/routerMock.js,argvader,16,0
src/__mocks__/storeMock.js,Gary Paige,62,12
src/__mocks__/storeMock.js,brennanbelew,10,1
src/__mocks__/storeMock.js,Ginu Philip Simon,16,1
src/__mocks__/storeMock.js,Daniel Nalbach,30,8
src/__mocks__/storeMock.js,Jeff Tougas,10,1
src/__mocks__/storeMock.js,Alex Petty,1,0
src/__tests__/App.js,Gary Paige,17,17
src/actions/activitiesActions.js,Ginu Philip Simon,32,2
src/actions/activitiesActions.js,Gary Paige,2,2
src/actions/activitiesActions.test.js,Ginu Philip Simon,39,2
src/actions/authenticationActions.js,Gary Paige,32,0
src/actions/authenticationActions.test.js,Gary Paige,34,0
src/actions/carrierActions.js,Gary Paige,9,9
src/actions/carrierActions.test.js,Gary Paige,13,13
src/actions/contentDetailActions.js,Gary Paige,43,43
src/actions/contentDetailActions.test.js,Gary Paige,70,70
src/actions/featureActions.js,Gary Paige,12,0
src/actions/featureActions.js,brennanbelew,12,0
src/actions/featureActions.test.js,Gary Paige,13,0
src/actions/featureActions.test.js,brennanbelew,13,0
src/actions/healthActions.js,Gary Paige,17,8
src/actions/healthActions.js,argvader,10,0
src/actions/healthActions.test.js,Gary Paige,18,6
src/actions/healthActions.test.js,argvader,15,0
src/actions/helixStateActions.js,Gary Paige,32,0
src/actions/helixStateActions.test.js,Gary Paige,38,0
src/actions/index.js,Muhamed Brifkani,9,9
src/actions/mixpanelActions.js,Gary Paige,214,56
src/actions/mixpanelActions.js,Ginu Philip Simon,17,3
src/actions/mixpanelActions.js,Daniel Nalbach,84,19
src/actions/mixpanelActions.js,brennanbelew,18,3
src/actions/mixpanelActions.js,Jeff Tougas,31,1
src/actions/mixpanelActions.test.js,Gary Paige,329,96
src/actions/mixpanelActions.test.js,Ginu Philip Simon,41,2
src/actions/mixpanelActions.test.js,Daniel Nalbach,159,24
src/actions/mixpanelActions.test.js,brennanbelew,113,3
src/actions/searchActions.js,Gary Paige,30,14
src/actions/searchActions.js,Ginu Philip Simon,9,3
src/actions/searchActions.js,Daniel Nalbach,11,0
src/actions/searchActions.test.js,Gary Paige,32,23
src/actions/searchActions.test.js,Ginu Philip Simon,11,0
